t,target_x,target_y,target_h_deg,x,y,h_deg
0.001,,,,-0.0,0.0001,0.01
0.052,,,,-0.0,0.0001,0.01
0.102,,,,-0.0,0.0001,0.01
0.153,,,,-0.0,0.0001,0.01
0.203,,,,-0.0,0.0001,0.01
0.254,,,,-0.0,0.0001,0.01
0.304,,,,-0.0,0.0001,0.01
0.355,,,,-0.0,0.0001,0.01
0.405,,,,-0.0,0.0001,0.02
0.456,,,,-0.0,0.0001,0.02
0.507,,,,-0.0,0.0001,0.02
0.557,,,,-0.0,0.0001,0.02
0.608,,,,-0.0,0.0001,0.02
0.659,,,,-0.0,0.0001,0.02
0.709,,,,-0.0,0.0001,0.02
0.76,,,,-0.0,0.0001,0.02
0.811,,,,-0.0001,0.0001,0.03
0.862,,,,-0.0001,0.0001,0.03
0.912,,,,-0.0001,0.0001,0.03
0.963,,,,-0.0001,0.0001,0.03
1.014,,,,-0.0001,0.0001,0.03
1.064,,,,-0.0001,0.0001,0.03
1.114,,,,-0.0001,0.0001,0.03
1.165,,,,-0.0001,0.0001,0.03
1.215,,,,-0.0001,0.0001,0.03
1.266,,,,-0.0007,0.0007,0.19
1.316,,,,-0.0007,0.0007,0.19
1.367,,,,0.0008,-0.0002,-0.07
1.418,,,,0.0008,-0.0002,-0.07
1.468,,,,0.0005,-0.0004,-0.16
1.519,,,,0.0005,-0.0004,-0.16
1.569,,,,0.0006,-0.0004,-0.14
1.62,,,,0.0006,-0.0004,-0.14
1.671,,,,0.0007,-0.0004,-0.15
1.722,,,,0.0007,-0.0004,-0.15
1.773,,,,0.0007,-0.0004,-0.14
1.824,,,,0.0007,-0.0004,-0.14
1.875,,,,0.0007,-0.0002,-0.09
1.926,,,,0.0011,-0.0006,-0.21
1.977,,,,0.0011,-0.0006,-0.21
2.027,,,,0.0011,-0.0006,-0.21
2.078,,,,0.0008,-0.0003,-0.12
2.128,,,,0.0014,-0.0008,-0.24
2.179,,,,0.0013,-0.0008,-0.25
2.23,,,,0.0013,-0.0008,-0.25
2.28,,,,0.0012,-0.0005,-0.17
2.332,,,,0.0013,-0.0008,-0.24
2.382,,,,0.0012,-0.0008,-0.24
2.433,,,,0.0007,-0.0001,-0.04
2.483,,,,0.0008,-0.0,-0.03
2.534,,,,0.0008,-0.0,-0.03
2.585,,,,0.0011,-0.0005,-0.16
2.636,,,,0.0011,-0.0005,-0.16
2.686,,,,0.0019,-0.0011,-0.32
2.737,,,,0.0019,-0.0011,-0.32
2.788,,,,0.0017,-0.0011,-0.33
2.839,,,,0.0017,-0.0011,-0.33
2.89,,,,0.0019,-0.0013,-0.38
2.94,,,,0.0018,-0.0012,-0.36
2.991,,,,0.0016,-0.001,-0.31
3.042,,,,0.0018,-0.0011,-0.33
3.093,,,,0.0018,-0.0012,-0.35
3.143,,,,0.0017,-0.0011,-0.34
3.194,,,,0.0017,-0.0011,-0.33
3.245,,,,0.0017,-0.0011,-0.33
3.298,,,,0.0018,-0.0011,-0.33
3.35,,,,0.0018,-0.0011,-0.33
3.401,,,,0.0019,-0.0015,-0.43
3.452,,,,0.0019,-0.0014,-0.42
3.503,,,,0.002,-0.0012,-0.35
3.554,,,,0.0022,-0.0015,-0.44
3.604,,,,0.0019,-0.0015,-0.46
3.655,,,,0.0019,-0.0015,-0.45
3.705,,,,0.0022,-0.0014,-0.42
3.756,,,,0.0022,-0.0014,-0.42
3.807,,,,0.0021,-0.0013,-0.39
3.858,,,,0.0019,-0.0013,-0.4
3.908,,,,0.0019,-0.0013,-0.39
3.959,,,,0.0019,-0.0013,-0.39
4.01,,,,0.0017,-0.0011,-0.32
4.06,,,,0.0024,-0.0016,-0.48
4.111,,,,0.0021,-0.0017,-0.49
4.161,,,,0.0019,-0.0016,-0.48
4.212,,,,0.0021,-0.0016,-0.47
4.263,,,,0.0026,-0.0022,-0.62
4.313,,,,0.0026,-0.0024,-0.68
4.364,,,,0.0024,-0.0024,-0.66
4.415,,,,0.0025,-0.0023,-0.65
4.465,,,,0.0027,-0.0023,-0.64
4.516,,,,0.0027,-0.0023,-0.63
4.567,,,,0.0027,-0.0023,-0.64
4.618,,,,0.0027,-0.0023,-0.65
4.669,,,,0.0026,-0.0023,-0.66
4.719,,,,0.0026,-0.0023,-0.65
4.77,,,,0.0027,-0.0023,-0.63
4.821,,,,0.0027,-0.0023,-0.63
4.871,,,,0.0027,-0.0023,-0.64
4.922,,,,0.0027,-0.0023,-0.64
4.972,,,,0.0027,-0.0023,-0.64
5.023,,,,0.0027,-0.0023,-0.63
5.074,,,,0.0027,-0.0023,-0.63
5.124,,,,0.0027,-0.0023,-0.63
5.175,,,,0.0027,-0.0023,-0.63
5.225,,,,0.0027,-0.0023,-0.63
5.276,,,,0.0027,-0.0023,-0.63
5.327,,,,0.0027,-0.0023,-0.63
5.378,,,,0.0027,-0.0023,-0.63
5.428,,,,0.0027,-0.0023,-0.63
5.479,,,,0.0027,-0.0023,-0.63
5.529,,,,0.0027,-0.0023,-0.63
5.58,,,,0.0027,-0.0023,-0.63
5.631,,,,0.0027,-0.0023,-0.63
5.681,,,,0.0027,-0.0023,-0.63
5.732,,,,0.0027,-0.0023,-0.63
5.783,,,,0.0027,-0.0023,-0.63
5.833,,,,0.0027,-0.0023,-0.63
5.884,,,,0.0027,-0.0023,-0.63
5.934,,,,0.0027,-0.0023,-0.63
6.024,,,,0.0027,-0.0023,-0.63
6.074,,,,0.0027,-0.0023,-0.63
6.125,,,,0.0027,-0.0023,-0.63
6.175,,,,0.0027,-0.0023,-0.63
6.226,,,,0.0027,-0.0023,-0.63
6.277,,,,0.0027,-0.0023,-0.63
6.327,,,,0.0027,-0.0023,-0.63
6.378,,,,0.0027,-0.0023,-0.63
6.429,,,,0.0027,-0.0023,-0.63
6.479,,,,0.0027,-0.0023,-0.63
6.531,,,,0.0027,-0.0023,-0.63
6.582,,,,0.0027,-0.0023,-0.63
6.632,,,,0.0027,-0.0023,-0.64
6.683,,,,0.0027,-0.0023,-0.64
6.734,,,,0.0027,-0.0023,-0.64
6.784,,,,0.0027,-0.0023,-0.64
6.835,,,,0.0027,-0.0023,-0.64
6.886,,,,0.0027,-0.0023,-0.64
6.936,,,,0.0028,-0.0023,-0.64
6.987,,,,0.0028,-0.0023,-0.64
7.038,,,,0.0028,-0.0023,-0.64
7.089,,,,0.0028,-0.0023,-0.64
7.139,,,,0.0028,-0.0023,-0.64
7.19,,,,0.0028,-0.0023,-0.63
7.241,,,,0.0028,-0.0023,-0.63
7.292,,,,0.0028,-0.0023,-0.63
7.343,,,,0.0028,-0.0023,-0.63
7.393,,,,0.0028,-0.0023,-0.63
7.444,,,,0.0028,-0.0023,-0.63
7.495,,,,0.0028,-0.0023,-0.63
7.546,,,,0.0028,-0.0023,-0.63
7.597,,,,0.0028,-0.0023,-0.64
