t_ms,tx,ty,x,y,h_deg,vx,vy,w,posErr
28,0.300,0.300,-0.0000,0.0000,-0.0,0.250,0.250,0.000,0.4243
49,0.300,0.300,0.0000,-0.0000,-0.0,0.250,0.250,0.000,0.4243
63,0.300,0.300,0.0003,-0.0001,0.0,0.250,0.250,0.000,0.4241
84,0.300,0.300,0.0006,-0.0001,0.1,0.250,0.250,0.000,0.4239
100,0.300,0.300,0.0022,-0.0002,0.4,0.250,0.250,0.000,0.4229
112,0.300,0.300,0.0036,-0.0005,0.5,0.250,0.250,0.000,0.4221
124,0.300,0.300,0.0050,-0.0008,0.8,0.250,0.250,0.000,0.4213
137,0.300,0.300,0.0063,-0.0012,1.0,0.250,0.250,0.000,0.4206
150,0.300,0.300,0.0083,-0.0016,1.3,0.250,0.250,0.000,0.4196
164,0.300,0.300,0.0103,-0.0023,1.7,0.250,0.250,0.000,0.4187
178,0.300,0.300,0.0127,-0.0031,2.1,0.250,0.250,0.000,0.4176
192,0.300,0.300,0.0153,-0.0038,2.5,0.250,0.250,0.000,0.4163
205,0.300,0.300,0.0184,-0.0046,3.1,0.250,0.250,0.000,0.4148
222,0.300,0.300,0.0210,-0.0053,3.7,0.250,0.250,0.000,0.4136
237,0.300,0.300,0.0251,-0.0068,4.3,0.250,0.250,0.000,0.4119
251,0.300,0.300,0.0287,-0.0082,5.0,0.250,0.250,0.000,0.4106
264,0.300,0.300,0.0321,-0.0093,5.7,0.250,0.250,0.000,0.4092
277,0.300,0.300,0.0356,-0.0107,6.3,0.250,0.250,0.000,0.4080
290,0.300,0.300,0.0389,-0.0120,7.0,0.250,0.250,0.000,0.4068
317,0.300,0.300,0.0430,-0.0138,7.7,0.250,0.249,0.000,0.4056
337,0.300,0.300,0.0502,-0.0165,9.3,0.250,0.245,0.000,0.4032
354,0.300,0.300,0.0561,-0.0192,10.4,0.250,0.243,0.000,0.4018
374,0.300,0.300,0.0613,-0.0215,11.5,0.250,0.241,0.000,0.4004
393,0.300,0.300,0.0673,-0.0239,12.8,0.250,0.238,0.000,0.3988
412,0.300,0.300,0.0735,-0.0267,14.1,0.250,0.235,0.150,0.3976
431,0.300,0.300,0.0800,-0.0293,15.3,0.250,0.234,0.161,0.3960
452,0.300,0.300,0.0861,-0.0319,16.8,0.250,0.230,0.176,0.3948
472,0.300,0.300,0.0937,-0.0354,18.2,0.250,0.229,0.190,0.3938
494,0.300,0.300,0.1014,-0.0396,19.6,0.250,0.228,0.205,0.3934
512,0.300,0.300,0.1089,-0.0433,20.8,0.250,0.228,0.218,0.3929
531,0.300,0.300,0.1160,-0.0473,22.0,0.250,0.228,0.230,0.3930
557,0.300,0.300,0.1238,-0.0516,23.0,0.250,0.229,0.241,0.3933
578,0.300,0.300,0.1353,-0.0585,24.6,0.250,0.232,0.257,0.3945
604,0.300,0.300,0.1436,-0.0631,25.5,0.000,0.000,0.267,0.3954
622,0.300,0.300,0.1554,-0.0700,26.8,0.000,0.000,0.281,0.3972
640,0.300,0.300,0.1639,-0.0749,27.6,0.000,0.000,0.289,0.3989
658,0.300,0.300,0.1721,-0.0802,28.4,0.000,0.000,0.297,0.4011
676,0.300,0.300,0.1802,-0.0865,28.9,0.000,0.000,0.303,0.4046
695,0.300,0.300,0.1878,-0.0924,29.5,0.000,0.000,0.309,0.4081
713,0.300,0.300,0.1960,-0.0996,29.9,0.000,0.000,0.314,0.4129
