t_ms,tx,ty,x,y,h_deg,vx,vy,w,posErr
34,0.300,0.300,0.0000,0.0000,-0.0,0.000,0.000,-0.350,0.4243
51,0.300,0.300,0.0003,-0.0002,-0.1,0.000,0.000,-0.350,0.4242
66,0.300,0.300,0.0005,-0.0004,-0.3,0.000,0.000,-0.350,0.4242
78,0.300,0.300,0.0004,-0.0006,-0.8,0.000,0.000,-0.350,0.4244
93,0.300,0.300,0.0006,-0.0008,-1.3,0.000,0.000,-0.350,0.4244
106,0.300,0.300,0.0006,-0.0006,-2.0,0.000,0.000,-0.350,0.4242
118,0.300,0.300,0.0011,-0.0007,-2.8,0.000,0.000,-0.350,0.4240
133,0.300,0.300,0.0011,-0.0009,-3.5,0.000,0.000,-0.350,0.4241
144,0.300,0.300,0.0009,-0.0003,-4.4,0.000,0.000,-0.350,0.4238
159,0.300,0.300,0.0017,-0.0009,-5.3,0.000,0.000,-0.350,0.4237
171,0.300,0.300,0.0015,-0.0006,-6.2,0.000,0.000,-0.350,0.4236
184,0.300,0.300,0.0020,-0.0001,-7.1,0.000,0.000,-0.350,0.4229
196,0.300,0.300,0.0018,0.0001,-7.9,0.000,0.000,-0.350,0.4229
209,0.300,0.300,0.0018,0.0002,-8.8,0.000,0.000,-0.350,0.4228
221,0.300,0.300,0.0018,0.0006,-9.7,0.000,0.000,-0.350,0.4226
232,0.300,0.300,0.0018,0.0009,-10.5,0.000,0.000,-0.350,0.4224
242,0.300,0.300,0.0022,0.0013,-11.3,0.000,0.000,-0.350,0.4218
254,0.300,0.300,0.0024,0.0014,-12.1,0.000,0.000,-0.350,0.4215
265,0.300,0.300,0.0025,0.0014,-13.0,0.000,0.000,-0.350,0.4215
277,0.300,0.300,0.0026,0.0016,-13.8,0.000,0.000,-0.350,0.4213
288,0.300,0.300,0.0026,0.0016,-14.7,0.000,0.000,-0.350,0.4213
299,0.300,0.300,0.0029,0.0021,-15.5,0.000,0.000,-0.350,0.4207
311,0.300,0.300,0.0034,0.0022,-16.4,0.000,0.000,-0.350,0.4203
323,0.300,0.300,0.0034,0.0022,-17.3,0.000,0.000,-0.350,0.4203
335,0.300,0.300,0.0033,0.0028,-18.1,0.000,0.000,-0.350,0.4199
346,0.300,0.300,0.0036,0.0030,-19.0,0.000,0.000,-0.350,0.4196
358,0.300,0.300,0.0038,0.0031,-19.9,0.000,0.000,-0.350,0.4194
369,0.300,0.300,0.0039,0.0033,-20.7,0.000,0.000,-0.350,0.4192
381,0.300,0.300,0.0041,0.0033,-21.6,0.000,0.000,-0.350,0.4190
392,0.300,0.300,0.0041,0.0037,-22.4,0.000,0.000,-0.350,0.4187
404,0.300,0.300,0.0043,0.0039,-23.2,0.000,0.000,-0.350,0.4185
416,0.300,0.300,0.0047,0.0039,-24.2,0.000,0.000,-0.350,0.4182
425,0.300,0.300,0.0049,0.0044,-25.0,0.000,0.000,-0.350,0.4177
437,0.300,0.300,0.0050,0.0043,-25.8,0.000,0.000,-0.350,0.4177
448,0.300,0.300,0.0052,0.0045,-26.7,0.000,0.000,-0.350,0.4174
461,0.300,0.300,0.0053,0.0048,-27.5,0.000,0.000,-0.350,0.4171
474,0.300,0.300,0.0053,0.0049,-28.5,0.000,0.000,-0.350,0.4170
485,0.300,0.300,0.0053,0.0056,-29.3,0.000,0.000,-0.350,0.4166
496,0.300,0.300,0.0056,0.0056,-30.2,0.000,0.000,-0.350,0.4163
507,0.300,0.300,0.0057,0.0059,-31.0,0.000,0.000,-0.350,0.4161
525,0.300,0.300,0.0058,0.0059,-31.8,0.000,0.000,-0.350,0.4160
544,0.300,0.300,0.0061,0.0063,-33.1,0.000,0.000,-0.350,0.4155
555,0.300,0.300,0.0065,0.0062,-34.6,0.000,0.000,-0.350,0.4153
568,0.300,0.300,0.0066,0.0066,-35.5,0.000,0.000,-0.350,0.4149
580,0.300,0.300,0.0067,0.0071,-36.4,0.000,0.000,-0.350,0.4145
592,0.300,0.300,0.0071,0.0068,-37.4,0.000,0.000,-0.350,0.4144
604,0.300,0.300,0.0072,0.0074,-38.2,0.000,0.000,-0.350,0.4139
616,0.300,0.300,0.0076,0.0072,-39.2,0.000,0.000,-0.350,0.4138
627,0.300,0.300,0.0080,0.0076,-40.0,0.000,0.000,-0.350,0.4132
639,0.300,0.300,0.0079,0.0078,-40.9,0.000,0.000,-0.350,0.4132
651,0.300,0.300,0.0082,0.0075,-41.8,0.000,0.000,-0.350,0.4132
662,0.300,0.300,0.0085,0.0082,-42.7,0.000,0.000,-0.350,0.4125
674,0.300,0.300,0.0087,0.0083,-43.5,0.000,0.000,-0.350,0.4123
688,0.300,0.300,0.0091,0.0080,-44.5,0.000,0.000,-0.350,0.4122
703,0.300,0.300,0.0090,0.0081,-45.6,0.000,0.000,-0.350,0.4122
715,0.300,0.300,0.0095,0.0083,-46.7,0.000,0.000,-0.350,0.4117
727,0.300,0.300,0.0095,0.0085,-47.6,0.000,0.000,-0.350,0.4115
739,0.300,0.300,0.0100,0.0082,-48.6,0.000,0.000,-0.350,0.4114
751,0.300,0.300,0.0101,0.0088,-49.4,0.000,0.000,-0.350,0.4109
763,0.300,0.300,0.0101,0.0088,-50.4,0.000,0.000,-0.350,0.4109
774,0.300,0.300,0.0106,0.0091,-51.2,0.000,0.000,-0.350,0.4103
786,0.300,0.300,0.0109,0.0094,-52.1,0.000,0.000,-0.350,0.4099
