t,target_x,target_y,target_h_deg,x,y,h_deg
286.548,,,,-0.0,0.0,0.01
286.603,,,,-0.0,0.0,-0.0
286.654,,,,0.0,-0.0,-0.0
286.705,,,,0.0,-0.0,-0.0
286.755,,,,-0.0,0.0,-0.0
286.806,,,,0.0,-0.0,-0.0
286.857,,,,0.0,-0.0,-0.0
286.908,,,,-0.0,0.0,-0.0
286.959,,,,-0.0,0.0,-0.0
287.01,,,,-0.0,0.0,-0.0
287.061,,,,-0.0,0.0,-0.0
287.111,,,,-0.0,-0.0,-0.0
287.162,,,,-0.0,0.0,-0.0
287.213,,,,-0.0,0.0,-0.0
287.264,,,,-0.0,-0.0,-0.0
287.314,,,,-0.0,0.0,-0.0
287.365,,,,-0.0,0.0,0.01
287.416,,,,0.0,-0.0,-0.0
287.467,,,,-0.0,0.0,0.01
287.518,,,,0.0,0.0,-0.0
287.57,,,,-0.0,0.0,0.01
287.621,,,,-0.0,0.0,0.01
287.672,,,,-0.0,0.0,0.01
287.723,,,,-0.0,0.0,0.01
287.774,,,,-0.0,0.0,0.01
287.825,,,,-0.0,0.0,0.01
287.875,,,,-0.0,0.0,0.01
287.965,,,,-0.0,0.0,0.01
288.017,,,,-0.0,0.0,0.01
288.068,,,,-0.0,0.0,0.01
288.119,,,,-0.0,0.0,0.01
288.175,,,,-0.0,0.0,0.01
288.225,,,,-0.0,0.0,0.01
288.276,,,,-0.0,0.0,0.01
288.326,,,,-0.0,0.0,0.01
288.377,,,,-0.0,0.0,0.01
288.428,,,,-0.0,0.0,0.01
288.478,,,,-0.0,0.0,0.01
288.529,,,,-0.0,0.0,0.01
288.579,,,,-0.0,0.0,0.01
288.631,,,,-0.0,0.0,0.01
288.682,,,,-0.0,0.0,0.01
288.732,,,,-0.0001,0.0001,0.01
288.783,,,,-0.0001,0.0001,0.01
288.834,,,,-0.0001,0.0001,0.01
288.885,,,,-0.0001,0.0001,0.01
288.935,,,,-0.0001,0.0001,0.01
288.986,,,,-0.0001,0.0001,0.01
289.036,,,,-0.0001,0.0001,0.01
289.087,,,,-0.0001,0.0001,0.01
289.137,,,,-0.0001,0.0001,0.01
289.188,,,,-0.0001,0.0001,0.01
289.238,,,,-0.0001,0.0001,0.01
289.289,,,,-0.0001,0.0001,0.01
289.339,,,,-0.0001,0.0001,0.01
289.39,,,,-0.0001,0.0001,0.01
289.44,,,,-0.0001,0.0001,0.01
289.491,,,,-0.0001,0.0001,0.01
289.541,,,,-0.0001,0.0001,0.01
289.592,,,,-0.0001,0.0001,0.01
289.642,,,,-0.0001,0.0001,0.02
289.693,,,,-0.0001,0.0001,0.02
289.743,,,,-0.0001,0.0001,0.02
289.794,,,,-0.0001,0.0001,0.02
289.845,,,,-0.0001,0.0001,0.02
289.896,,,,-0.0001,0.0001,0.02
289.946,,,,-0.0001,0.0001,0.02
289.996,,,,-0.0001,0.0001,0.02
290.047,,,,-0.0001,0.0001,0.02
290.097,,,,-0.0001,0.0001,0.02
290.148,,,,-0.0001,0.0001,0.02
290.198,,,,-0.0001,0.0001,0.02
290.248,,,,-0.0001,0.0001,0.01
290.299,,,,-0.0001,0.0001,0.01
290.35,,,,-0.0001,0.0001,0.02
290.401,,,,-0.0001,0.0001,0.01
290.451,,,,-0.0001,0.0001,0.02
290.502,,,,-0.0001,0.0001,0.01
290.552,,,,-0.0001,0.0001,0.01
290.603,,,,-0.0001,0.0001,0.01
290.654,,,,-0.0001,0.0001,0.01
290.705,,,,-0.0001,0.0001,0.01
290.756,,,,-0.0001,0.0001,0.02
290.808,,,,-0.0001,0.0001,0.02
290.897,,,,-0.0001,0.0001,0.02
290.948,,,,-0.0001,0.0001,0.02
290.998,,,,-0.0001,0.0001,0.02
291.049,,,,-0.0001,0.0001,0.02
291.099,,,,-0.0001,0.0001,0.02
291.151,,,,-0.0001,0.0001,0.02
291.201,,,,-0.0001,0.0001,0.02
291.252,,,,-0.0001,0.0001,0.02
291.303,,,,-0.0001,0.0001,0.03
291.353,,,,-0.0001,0.0001,0.03
291.404,,,,-0.0001,0.0001,0.03
291.455,,,,-0.0001,0.0001,0.03
291.505,,,,-0.0001,0.0001,0.03
291.556,,,,-0.0001,0.0001,0.03
291.607,,,,-0.0001,0.0001,0.03
291.657,,,,-0.0001,0.0001,0.03
291.709,,,,-0.0001,0.0001,0.02
291.759,,,,-0.0001,0.0001,0.02
291.81,,,,-0.0001,0.0001,0.02
291.861,,,,-0.0001,0.0001,0.02
291.911,,,,-0.0001,0.0001,0.02
291.962,,,,-0.0001,0.0001,0.02
292.013,,,,-0.0001,0.0001,0.02
292.063,,,,-0.0001,0.0001,0.02
292.114,,,,-0.0001,0.0001,0.02
292.164,,,,-0.0001,0.0001,0.02
292.215,,,,-0.0001,0.0001,0.02
292.266,,,,-0.0001,0.0001,0.02
292.316,,,,-0.0001,0.0001,0.02
292.367,,,,-0.0001,0.0001,0.02
292.418,,,,-0.0001,0.0001,0.02
292.469,,,,-0.0001,0.0001,0.02
292.519,,,,-0.0001,0.0001,0.02
292.57,,,,-0.0001,0.0001,0.02
292.62,,,,-0.0001,0.0001,0.02
292.67,,,,-0.0001,0.0001,0.02
292.721,,,,-0.0001,0.0001,0.02
292.772,,,,-0.0001,0.0001,0.02
292.824,,,,-0.0001,0.0001,0.02
292.875,,,,-0.0001,0.0001,0.02
292.926,,,,-0.0001,0.0001,0.02
292.976,,,,-0.0001,0.0001,0.02
293.029,,,,-0.0001,0.0001,0.02
293.082,,,,-0.0001,0.0001,0.02
293.133,,,,-0.0001,0.0001,0.02
293.184,,,,-0.0001,0.0001,0.02
293.235,,,,-0.0001,0.0001,0.02
293.286,,,,-0.0001,0.0001,0.01
293.336,,,,-0.0001,0.0001,0.01
293.387,,,,-0.0001,0.0001,0.01
293.438,,,,-0.0001,0.0001,0.02
293.488,,,,-0.0001,0.0001,0.02
293.542,,,,-0.0001,0.0001,0.02
293.62,,,,-0.0001,0.0001,0.02
293.67,,,,-0.0001,0.0001,0.02
293.721,,,,-0.0001,0.0001,0.02
293.771,,,,-0.0001,0.0001,0.01
293.822,,,,-0.0001,0.0001,0.02
293.872,,,,-0.0001,0.0001,0.01
293.923,,,,-0.0001,0.0001,0.01
293.974,,,,-0.0001,0.0001,0.01
294.024,,,,-0.0001,0.0001,0.01
294.075,,,,-0.0001,0.0001,0.01
294.125,,,,-0.0001,0.0001,0.01
294.176,,,,-0.0001,0.0001,0.01
294.226,,,,-0.0001,0.0001,0.01
294.277,,,,-0.0001,0.0001,0.01
294.327,,,,-0.0001,0.0001,0.01
294.378,,,,-0.0001,0.0001,0.01
294.428,,,,-0.0001,0.0001,0.01
294.48,,,,-0.0001,0.0001,0.01
294.531,,,,-0.0001,0.0001,0.01
294.581,,,,-0.0001,0.0001,0.01
294.632,,,,-0.0001,0.0001,0.01
294.683,,,,-0.0001,0.0001,0.01
294.733,,,,-0.0001,0.0001,0.01
294.784,,,,-0.0001,0.0001,0.01
294.835,,,,-0.0001,0.0001,0.01
294.886,,,,-0.0001,0.0001,0.01
294.936,,,,-0.0001,0.0001,0.01
294.987,,,,-0.0001,0.0001,0.01
295.038,,,,-0.0001,0.0001,0.01
295.089,,,,-0.0001,0.0001,0.01
295.139,,,,-0.0001,0.0001,0.01
295.19,,,,-0.0001,0.0001,0.02
295.24,,,,-0.0001,0.0001,0.02
295.291,,,,-0.0001,0.0001,0.02
295.342,,,,-0.0001,0.0001,0.02
295.394,,,,-0.0001,0.0001,0.02
295.445,,,,-0.0001,0.0001,0.02
295.496,,,,-0.0001,0.0001,0.03
295.546,,,,-0.0001,0.0001,0.02
295.598,,,,-0.0001,0.0001,0.02
295.649,,,,-0.0001,0.0001,0.02
295.699,,,,-0.0001,0.0001,0.02
295.75,,,,-0.0001,0.0001,0.02
295.801,,,,-0.0001,0.0001,0.03
295.851,,,,-0.0001,0.0001,0.03
295.902,,,,-0.0001,0.0001,0.03
295.952,,,,-0.0001,0.0001,0.03
296.003,,,,-0.0001,0.0001,0.02
296.053,,,,-0.0001,0.0001,0.03
296.104,,,,-0.0001,0.0001,0.03
296.155,,,,-0.0001,0.0001,0.03
296.205,,,,-0.0001,0.0001,0.03
